timestamp,zone_datetime,status,zone_name,carbon_intensity_avg,carbon_intensity_unit,fossilFuelPercentage
1659475812,2022-08-02T20:00:00.000Z,ok,US-CAR-SC,582,gCO2eq/kWh,81.33
1659477612,2022-08-02T21:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,80.79
1659479412,2022-08-02T21:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,80.79
1659481212,2022-08-02T22:00:00.000Z,ok,US-CAR-SC,574,gCO2eq/kWh,80.55
1659483011,2022-08-02T22:00:00.000Z,ok,US-CAR-SC,574,gCO2eq/kWh,80.55
1659484812,2022-08-02T23:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,80.87
1659486612,2022-08-02T23:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,80.87
1659488412,2022-08-03T00:00:00.000Z,ok,US-CAR-SC,584,gCO2eq/kWh,81.7
1659490212,2022-08-03T00:00:00.000Z,ok,US-CAR-SC,584,gCO2eq/kWh,81.7
1659492012,2022-08-03T01:00:00.000Z,ok,US-CAR-SC,587,gCO2eq/kWh,82.08
1659493812,2022-08-03T01:00:00.000Z,ok,US-CAR-SC,587,gCO2eq/kWh,82.08
1659495611,2022-08-03T02:00:00.000Z,ok,US-CAR-SC,588,gCO2eq/kWh,82.37
1659497411,2022-08-03T02:00:00.000Z,ok,US-CAR-SC,588,gCO2eq/kWh,82.37
1659499211,2022-08-03T03:00:00.000Z,ok,US-CAR-SC,589,gCO2eq/kWh,82.46
1659501011,2022-08-03T03:00:00.000Z,ok,US-CAR-SC,589,gCO2eq/kWh,82.46
1659502812,2022-08-03T04:00:00.000Z,ok,US-CAR-SC,591,gCO2eq/kWh,82.63
1659504611,2022-08-03T04:00:00.000Z,ok,US-CAR-SC,591,gCO2eq/kWh,82.63
1659506411,2022-08-03T05:00:00.000Z,ok,US-CAR-SC,592,gCO2eq/kWh,82.98
1659508211,2022-08-03T05:00:00.000Z,ok,US-CAR-SC,592,gCO2eq/kWh,82.98
1659510011,2022-08-03T06:00:00.000Z,ok,US-CAR-SC,589,gCO2eq/kWh,83.07
1659511811,2022-08-03T06:00:00.000Z,ok,US-CAR-SC,589,gCO2eq/kWh,83.07
1659513610,2022-08-03T07:00:00.000Z,ok,US-CAR-SC,584,gCO2eq/kWh,82.82
1659515411,2022-08-03T07:00:00.000Z,ok,US-CAR-SC,584,gCO2eq/kWh,82.82
1659517211,2022-08-03T08:00:00.000Z,ok,US-CAR-SC,580,gCO2eq/kWh,82.53
1659519011,2022-08-03T08:00:00.000Z,ok,US-CAR-SC,580,gCO2eq/kWh,82.53
1659520811,2022-08-03T09:00:00.000Z,ok,US-CAR-SC,578,gCO2eq/kWh,82.34
1659522611,2022-08-03T09:00:00.000Z,ok,US-CAR-SC,578,gCO2eq/kWh,82.34
1659524414,2022-08-03T10:00:00.000Z,ok,US-CAR-SC,576,gCO2eq/kWh,82.29
1659526214,2022-08-03T10:00:00.000Z,ok,US-CAR-SC,576,gCO2eq/kWh,82.29
1659528013,2022-08-03T11:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,82.36
1659529812,2022-08-03T11:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,82.36
1659531612,2022-08-03T12:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,82.31
1659540746,2022-08-03T14:00:00.000Z,ok,US-CAR-SC,577,gCO2eq/kWh,81.92
1659542547,2022-08-03T15:00:00.000Z,ok,US-CAR-SC,576,gCO2eq/kWh,81.56
1659544350,2022-08-03T15:00:00.000Z,ok,US-CAR-SC,576,gCO2eq/kWh,81.56
1659549747,2022-08-03T17:00:00.000Z,ok,US-CAR-SC,585,gCO2eq/kWh,81.89
1659551551,2022-08-03T17:00:00.000Z,ok,US-CAR-SC,585,gCO2eq/kWh,81.89
1659553348,2022-08-03T18:00:00.000Z,ok,US-CAR-SC,588,gCO2eq/kWh,82.19
1659555147,2022-08-03T18:00:00.000Z,ok,US-CAR-SC,588,gCO2eq/kWh,82.19
1659556947,2022-08-03T19:00:00.000Z,ok,US-CAR-SC,586,gCO2eq/kWh,81.93
1659558746,2022-08-03T19:00:00.000Z,ok,US-CAR-SC,586,gCO2eq/kWh,81.93
